x,y,demand,open,close,servicetime,drone_serve,time
70.0,70.0,0.0,0.0,1351.0,0.0,1,0.0
24.0,26.0,20.0,0.0,1198.0,90.0,0,0.0
90.0,104.0,20.0,0.0,1222.0,90.0,0,0.0
85.0,106.0,20.0,0.0,1222.0,90.0,0,0.0
57.0,59.0,10.0,0.0,1244.0,90.0,1,0.0
32.0,128.0,20.0,0.0,1192.0,90.0,0,0.0
109.0,71.0,20.0,0.0,1222.0,90.0,0,0.0
17.0,37.0,30.0,0.0,1199.0,90.0,0,0.0
30.0,27.0,10.0,0.0,1203.0,90.0,1,0.0
26.0,105.0,40.0,0.0,1205.0,90.0,0,0.0
34.0,82.0,10.0,0.0,1224.0,90.0,1,0.0
99.0,108.0,20.0,0.0,1214.0,90.0,0,0.0
1.0,34.0,20.0,0.0,1184.0,90.0,0,0.0
93.0,36.0,20.0,0.0,1220.0,90.0,0,0.0
132.0,24.0,10.0,0.0,1184.0,90.0,1,0.0
39.0,128.0,10.0,0.0,1196.0,90.0,1,0.0
24.0,24.0,10.0,0.0,1196.0,90.0,1,0.0
8.0,119.0,20.0,0.0,1182.0,90.0,0,0.0
76.0,99.0,20.0,0.0,1232.0,90.0,0,0.0
135.0,0.0,10.0,0.0,1166.0,90.0,1,0.0
1.0,24.0,10.0,0.0,1179.0,90.0,1,0.0
98.0,31.0,20.0,0.0,1213.0,90.0,0,0.0
137.0,3.0,20.0,0.0,1167.0,90.0,0,0.0
103.0,111.0,20.0,0.0,1209.0,90.0,0,0.0
112.0,71.0,20.0,0.0,1219.0,90.0,0,0.0
2.0,28.0,10.0,0.0,1182.0,90.0,1,0.0
87.0,39.0,20.0,0.0,1226.0,90.0,0,0.0
78.0,92.0,30.0,0.0,1238.0,90.0,0,0.0
119.0,136.0,30.0,0.0,1179.0,90.0,0,0.0
4.0,30.0,40.0,0.0,1184.0,90.0,0,0.0
80.0,97.0,10.0,0.0,1233.0,90.0,1,0.0
59.0,56.0,20.0,0.0,1244.0,90.0,0,0.0
