x,y,demand,open,close,servicetime,drone_serve,time
100.0,100.0,0.0,0.0,3213.0,0.0,1,0.0
83.0,81.0,21.0,25.0,262.0,10.0,0,0.06
107.0,96.0,23.0,8.0,129.0,10.0,0,1.32
98.0,89.0,29.0,11.0,137.0,10.0,0,1.76
103.0,97.0,9.0,4.0,130.0,10.0,1,1.82
98.0,77.0,7.0,94.0,184.0,10.0,1,3.88
94.0,119.0,25.0,19.0,140.0,10.0,0,4.79
83.0,112.0,28.0,41.0,126.0,10.0,0,5.47
123.0,90.0,21.0,25.0,203.0,10.0,0,14.85
78.0,72.0,9.0,99.0,185.0,10.0,1,20.48
135.0,110.0,7.0,125.0,166.0,10.0,1,20.76
119.0,113.0,35.0,147.0,277.0,10.0,0,24.95
115.0,75.0,26.0,51.0,182.0,10.0,0,25.74
67.0,127.0,21.0,110.0,232.0,10.0,0,27.99
69.0,133.0,8.0,146.0,216.0,10.0,1,28.84
111.0,129.0,27.0,83.0,165.0,10.0,0,29.12
84.0,81.0,11.0,31.0,168.0,10.0,0,30.32
118.0,117.0,20.0,196.0,236.0,10.0,0,34.6
101.0,127.0,31.0,74.0,143.0,10.0,0,37.25
122.0,58.0,15.0,187.0,273.0,10.0,0,37.89
112.0,78.0,34.0,168.0,335.0,10.0,0,39.59
149.0,103.0,17.0,158.0,234.0,10.0,0,40.3
89.0,39.0,19.0,194.0,428.0,10.0,0,44.48
109.0,45.0,14.0,129.0,316.0,10.0,0,48.34
76.0,102.0,15.0,51.0,141.0,10.0,0,49.57
101.0,29.0,7.0,219.0,349.0,10.0,1,55.46
114.0,72.0,22.0,60.0,191.0,10.0,0,57.76
55.0,100.0,22.0,155.0,206.0,10.0,0,63.15
108.0,148.0,21.0,113.0,276.0,10.0,0,79.53
75.0,134.0,16.0,110.0,227.0,10.0,0,79.97
125.0,78.0,11.0,98.0,168.0,10.0,0,90.4
138.0,69.0,9.0,203.0,321.0,10.0,1,91.14
136.0,90.0,18.0,124.0,174.0,10.0,0,103.19
131.0,92.0,22.0,108.0,148.0,10.0,0,104.68
94.0,31.0,18.0,203.0,351.0,10.0,0,107.27
118.0,139.0,13.0,119.0,225.0,10.0,0,108.13
63.0,149.0,17.0,222.0,378.0,10.0,0,111.67
103.0,77.0,21.0,149.0,322.0,10.0,0,118.2
125.0,180.0,1.0,288.0,469.0,10.0,1,119.79
154.0,59.0,17.0,286.0,379.0,10.0,0,121.91
