x,y,demand,open,close,servicetime,drone_serve,time
100.0,100.0,0.0,0.0,3060.0,0.0,1,0.0
67.0,127.0,21.0,111.0,231.0,10.0,0,0.98
114.0,72.0,22.0,65.0,185.0,10.0,0,6.15
107.0,96.0,23.0,8.0,128.0,10.0,0,6.36
115.0,75.0,26.0,57.0,177.0,10.0,0,6.62
123.0,90.0,21.0,40.0,160.0,10.0,0,7.05
85.0,110.0,10.0,18.0,138.0,10.0,1,17.18
78.0,72.0,9.0,82.0,202.0,10.0,1,25.25
111.0,129.0,27.0,64.0,184.0,10.0,0,27.74
103.0,77.0,21.0,176.0,296.0,10.0,0,30.53
136.0,90.0,18.0,89.0,209.0,10.0,0,32.39
80.0,108.0,20.0,74.0,194.0,10.0,0,34.65
164.0,113.0,20.0,201.0,321.0,10.0,0,34.96
75.0,134.0,16.0,109.0,229.0,10.0,0,36.26
131.0,92.0,22.0,68.0,188.0,10.0,0,38.94
83.0,81.0,21.0,42.0,162.0,10.0,0,39.25
100.0,70.0,30.0,60.0,180.0,10.0,0,41.72
122.0,58.0,15.0,170.0,290.0,10.0,0,44.91
125.0,78.0,11.0,73.0,193.0,10.0,0,47.04
68.0,40.0,23.0,212.0,332.0,10.0,0,51.24
157.0,142.0,13.0,223.0,343.0,10.0,0,57.31
79.0,115.0,30.0,142.0,262.0,10.0,0,69.14
101.0,70.0,20.0,104.0,224.0,10.0,0,72.03
174.0,128.0,20.0,256.0,376.0,10.0,0,76.4
85.0,164.0,23.0,203.0,323.0,10.0,0,79.09
89.0,39.0,19.0,251.0,371.0,10.0,0,82.27
63.0,149.0,17.0,240.0,360.0,10.0,0,85.29
75.0,173.0,30.0,249.0,369.0,10.0,0,94.84
70.0,37.0,10.0,219.0,339.0,10.0,1,96.49
63.0,58.0,20.0,164.0,284.0,10.0,0,99.89
129.0,40.0,20.0,207.0,327.0,10.0,0,102.5
57.0,54.0,20.0,275.0,395.0,10.0,0,109.7
187.0,112.0,30.0,291.0,411.0,10.0,0,118.43
181.0,89.0,10.0,267.0,387.0,10.0,1,120.25
69.0,133.0,8.0,121.0,241.0,10.0,1,120.44
105.0,70.0,10.0,200.0,320.0,10.0,1,126.95
138.0,69.0,9.0,202.0,322.0,10.0,1,139.39
60.0,58.0,20.0,172.0,292.0,10.0,0,142.88
103.0,70.0,10.0,152.0,272.0,10.0,1,144.75
140.0,11.0,10.0,330.0,450.0,10.0,1,150.91
131.0,38.0,20.0,258.0,378.0,10.0,0,156.93
165.0,113.0,10.0,245.0,365.0,10.0,1,160.69
151.0,66.0,11.0,295.0,415.0,10.0,0,164.6
56.0,59.0,30.0,228.0,348.0,10.0,0,174.68
12.0,66.0,20.0,317.0,437.0,10.0,0,175.08
78.0,119.0,30.0,286.0,406.0,10.0,0,175.37
41.0,182.0,30.0,344.0,464.0,10.0,0,175.47
29.0,139.0,10.0,264.0,384.0,10.0,1,175.51
78.0,115.0,10.0,186.0,306.0,10.0,1,176.08
190.0,112.0,20.0,343.0,463.0,10.0,0,178.91
83.0,118.0,20.0,347.0,467.0,10.0,0,185.49
104.0,68.0,10.0,249.0,369.0,10.0,1,191.55
48.0,30.0,50.0,375.0,495.0,10.0,0,199.01
103.0,66.0,20.0,339.0,459.0,10.0,0,203.16
